Date,HDFC,ICICI,Standard chartered
9-Aug-80,0.1,11.1,5.1
10-Aug-80,0.2,11.2,5.2
11-Aug-80,0.3,11.3,5.3
12-Aug-80,0.4,11.4,5.4
13-Aug-80,0.5,11.5,5.5
14-Aug-80,0.6,11.6,5.6
15-Aug-80,0.7,10.1,5.7
16-Aug-80,0.8,10.2,5.8
17-Aug-80,0.9,11.3,5.9
18-Aug-80,1,11.4,6
19-Aug-80,1.1,11.5,4.1
20-Aug-80,1.2,11.6,4.2
21-Aug-80,1.3,11.7,4.3
22-Aug-80,1.4,11.8,4.4
23-Aug-80,1.5,11.9,4.5
24-Aug-80,1.6,12,4.6
25-Aug-80,1.7,12.1,4.7
26-Aug-80,1.8,12.2,4.8
27-Aug-80,1.9,12.3,4.9
28-Aug-80,2,12.4,5
